epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,550.646,2.16479,1.09376,0.89404,0.92828,0.63658,0.77073,0.38171,1.89936,1.18684,0.87024,0.0003764,0.0003764,0.0003764
84,556.507,2.50983,1.21939,0.8995,0.92828,0.63658,0.77073,0.38171,1.89936,1.18684,0.87024,0.0003566,0.0003566,0.0003566
85,562.553,2.27928,1.11404,0.9312,0.92828,0.63658,0.77073,0.38171,1.89936,1.18684,0.87024,0.0003368,0.0003368,0.0003368
86,567.844,2.74571,1.28382,0.86314,0.82366,0.63934,0.7595,0.35667,1.92203,1.20516,0.87152,0.000317,0.000317,0.000317
87,573.84,2.34994,1.11525,0.87907,0.82366,0.63934,0.7595,0.35667,1.92203,1.20516,0.87152,0.0002972,0.0002972,0.0002972
88,579.91,2.43902,1.1503,0.8931,0.82366,0.63934,0.7595,0.35667,1.92203,1.20516,0.87152,0.0002774,0.0002774,0.0002774
89,585.763,2.22198,1.07571,0.90861,0.82366,0.63934,0.7595,0.35667,1.92203,1.20516,0.87152,0.0002576,0.0002576,0.0002576
90,591.29,2.30929,1.05189,0.85635,0.83473,0.66246,0.76338,0.33903,1.94862,1.21108,0.87314,0.0002378,0.0002378,0.0002378
91,596.493,2.34688,1.39549,0.84673,0.83473,0.66246,0.76338,0.33903,1.94862,1.21108,0.87314,0.000218,0.000218,0.000218
92,601.923,2.21785,1.2139,0.92778,0.83473,0.66246,0.76338,0.33903,1.94862,1.21108,0.87314,0.0001982,0.0001982,0.0001982
93,607.631,2.59353,1.47651,0.90491,0.83473,0.66246,0.76338,0.33903,1.94862,1.21108,0.87314,0.0001784,0.0001784,0.0001784
94,612.888,2.25573,1.31083,0.92349,0.86026,0.65574,0.75253,0.31709,2.00477,1.29309,0.87481,0.0001586,0.0001586,0.0001586
95,618.205,2.17948,1.15042,0.95108,0.86026,0.65574,0.75253,0.31709,2.00477,1.29309,0.87481,0.0001388,0.0001388,0.0001388
96,623.538,2.10325,1.23279,0.91836,0.86026,0.65574,0.75253,0.31709,2.00477,1.29309,0.87481,0.000119,0.000119,0.000119
97,628.435,2.0836,1.1718,0.92502,0.86026,0.65574,0.75253,0.31709,2.00477,1.29309,0.87481,9.92e-05,9.92e-05,9.92e-05
98,633.395,2.20466,1.17463,0.91651,0.86311,0.62024,0.7422,0.29724,2.05716,1.35852,0.87863,7.94e-05,7.94e-05,7.94e-05
99,638.329,2.24953,1.17159,0.91673,0.86311,0.62024,0.7422,0.29724,2.05716,1.35852,0.87863,5.96e-05,5.96e-05,5.96e-05
100,643.267,2.04862,1.04787,0.9618,0.86311,0.62024,0.7422,0.29724,2.05716,1.35852,0.87863,3.98e-05,3.98e-05,3.98e-05
